PLC ADR,ALIAS TO ,DESCRIPTION,UNIT,,
CW[235],,FREE,,,
CW[236],,FREE,,,
CW[237],,FREE,,,
CW[238],,FREE,,,
CW[239],,FREE,,,
CW[240],,FREE,,,
CW[241],,FREE,,,
CW[242],,FREE,,,
CW[243],,FREE,,,
CW[244],,FREE,,,
CW[245],,FREE,,,
CW[246],,OFFSET AEM /04,pg 70,,
CW[254],,NUMERATOR AEM /04,,,
CW[262],,DENOMINATOR AEM /04,,,
CW[270],,OFFSET AEM /05,,,
CW[278],,NUMERATOR AEM /05,,,
CW[286],,DENOMINATOR AEM /05,,,
CW[294],,FREE,,,
CW[295],,FREE,,,
CW[296],,FREE,,,
CW[297],,FREE,,,
CW[298],,FREE,,,
CW[299],,FREE,,,
CW[300],,FREE,pg 71-74,,
CW[460],,FREE,,,
CW[461],,FREE,,,
CW[462],,FREE,,,
CW[463],,FREE,,,
CW[464],,FREE,,,
CW[465],,FREE,,,
CW[466],,FREE,,,
CW[467],,FREE,,,
CW[468],,FREE,,,
CW[469],,FREE,,,
CW[470],,FREE,,,
CW[471],,FREE,,,
CW[472],,FREE,,,
CW[473],,FREE,,,
CW[474],,FREE,,,
CW[475],,FREE,,,
CW[476],,FREE,,,
CW[477],,FREE,,,
CW[478],,FREE,,,
CW[479],,FREE,,,
CW[480],,FREE,,,
CW[481],,FREE,,,
CW[482],,FREE,,,
CW[483],,FREE,,,
CW[484],,FREE,,,
CW[485],,FREE,,,
CW[486],,FREE,,,
CW[487],,FREE,,,
CW[488],,FREE,,,
CW[489],,FREE,,,
CW[490],,FREE,,,
CW[491],,FREE,,,
CW[492],,FREE,,,
CW[493],,FREE,,,
CW[494],,FREE,,,
CW[495],,FREE,,,
CW[496],,FREE,,,
CW[497],,FREE,,,
CW[498],,FREE,,,
CW[499],,FREE,,,
CW[500],,VALIDATION RUN ORDER FROM SUPERVISOR,pg 75,,
CW[505],,VALIDATION RUN ORDER FROM XBT1 PAGE 5,,,
CW[510],,VALIDATION STOP ORDER FROM XBT1 PAGE 5,,,
CW[515],,VALIDATION RUN ORDER FROM XBT2 PAGE 5,,,
CW[521],,VALIDATION STOP ORDER FROM SUPERVISOR,,,
CW[522],,FREE,,,
CW[523],,FREE,,,
CW[524],,FREE,,,
CW[525],,FREE,,,
CW[526],,FREE,,,
CW[527],,FREE,,,
CW[528],,FREE,,,
CW[529],,FREE,,,
