BIT NO.,TAG NAME,DESCRIPTION
W4760  F,DIFAE 175,FAULT MDO PUMP ZONE 6 M 1430.06  E175
,,
W4761  0,DIFAE 176,FAULT MDO PUMP ZONE 7 M 1430.07  E176
W4761  1,DIFAE 177,FAULT MDO PUMP ZONE 8 M 1430.08  E177
W4761  2,DIFAE 178,FAULT MDO PUMP STRET. 1 M1430.09 E178
W4761  3,DIFAE 179,FAULT MDO PUMP STRET. 2 M1430.10 E179
W4761  4,DIFAE 180,FAULT MDO PUMP STRET. 3 M1430.11 E180
W4761  5,DIFAE 181,FAULT MDO PUMP ZONE 12 M1430.06  E181
W4761  6,DIFAE 182,
W4761  7,DIFAE 183,
W4761  8,DIFAE 184,
W4761  9,DIFAE 185,FAULT TDO BLOWER ZONE 1 M1520.01 E185
W4761  A,DIFAE 186,FAULT INLET BLOWER M1520.01      E186
W4761  B,DIFAE 187,FAULT TDO BLOWER ZONE 2 M1520.02 E187
W4761  C,DIFAE 188,FAULT TDO BLOWER ZONE 3  M1520.03 E188
W4761  D,DIFAE 189,FAULT TDO BLOWER ZONE 4  M1520.04 E189
W4761  E,DIFAE 190,FAULT TDO BLOWER ZONE 5  M1520.05 E190
W4761  F,DIFAE 191,FAULT TDO BLOWER ZONE 6  M1520.06 E191
,,
W4762  0,DIFAE 192,FAULT TDO BLOWER ZONE 7  M1520.07 E192
W4762  1,DIFAE 193,FAULT TDO BLOWER ZONE 8  M1520.08 E193
W4762  2,DIFAE 194,FAULT TDO BLOWER ZONE 9  M1520.09 E194
W4762  3,DIFAE 195,FAULT TDO BLOWER ZONE 10 M1520.10 E195
W4762  4,DIFAE 196,FAULT TDO BLOWER ZONE 10 M1520.11 E196
W4762  5,DIFAE 197,FAULT TDO BLOWER ZONE 11 M1520.12 E197
W4762  6,DIFAE 198,FAULT TDO BLOWER ZONE 11 M1520.13 E198
W4762  7,DIFAE 199,FAULT TDO BLOWER ZONE 12 M1520.14 E199
W4762  8,DIFAE 200,FAULT TDO BLOWER ZONE 12 M1520.15 E200
W4762  9,DIFAE 201,FAULT TDO BLOWER ZONE 13 M1520.16 E201
W4762  A,DIFAE 202,FAULT TDO BLOWER ZONE 13 M1520.17 E202
W4762  B,DIFAE 203,FAULT TDO BLOWER ZONE 14 M1520.18 E203
W4762  C,DIFAE 204,FAULT TDO BLOWER ZONE 14 M1520.19 E204
W4762  D,DIFAE 205,FAULT TDO BLOWER ZONE 15 M1520.20 E205
W4762  E,DIFAE 206,FAULT TDO BLOWER ZONE 15 M1520.21 E206
W4762  F,DIFAE 207,FAULT TDO BLOWER ZONE 16 M1520.22 E207
,,
W4763  0,DIFAE 208,FAULT TDO BLOWER ZONE 16 M1520.23 E208
W4763  1,DIFAE 209,FAULT TDO BLOWER ZONE 17 M1520.24 E209
W4763  2,DIFAE 210,FAULT TDO BLOWER ZONE 17 M1520.25 E210
W4763  3,DIFAE 211,FAULT TDO BLOWER ZONE 18 M1520.26 E211
W4763  4,DIFAE 212,FAULT TDO BLOWER ZONE 18 M1520.27 E212
W4763  5,DIFAE 213,FAULT TDO BLOWER ZONE 19 M1520.28 E213
W4763  6,DIFAE 214,FAULT TDO BLOWER ZONE 19 M1520.29 E214
W4763  7,DIFAE 215,FAULT TDO BLOWER ZONE 20 M1520.30 E215
W4763  8,DIFAE 216,FAULT TDO BLOWER ZONE 20 M1520.31 E216
W4763  9,DIFAE 217,FAULT TDO BLOWER ZONE 21 M1520.32 E217
W4763  A,DIFAE 218,FAULT TDO BLOWER ZONE 21 M1520.33 E218
W4763  B,DIFAE 219,FAULT TDO BLOWER ZONE 22 M1520.34 E219
W4763  C,DIFAE 220,FAULT TDO BLOWER ZONE 22 M1520.35 E220
W4763  D,DIFAE 221,FAULT TDO INLET BLOWER   M1528.02 E224
W4763  E,DIFAE 222,FAULT TDO OUTLET BLOWER  M1520.03 E222
W4763  F,DIFAE 223,FAULT TDO OUTLET BLOWER  M1520.22 E223
,,
W4764  0,DIFAE 224,FAULT TDO OUTLET BLOWER  M1530.01 E224
W4764  1,DIFAE 225,FAULT TDO ZONE 1  BURNER M1540.01 E225
W4764  2,DIFAE 226,FAULT TDO ZONE 2  BURNER M1540.02 E226
W4764  3,DIFAE 227,FAULT TDO ZONE 3  BURNER M1540.03 E227
W4764  4,DIFAE 228,FAULT TDO ZONE 4  BURNER M1540.04 E228
W4764  5,DIFAE 229,FAULT TDO ZONE 5  BURNER M1540.05 E229
W4764  6,DIFAE 230,FAULT TDO ZONE 6  BURNER M1540.06 E230
W4764  7,DIFAE 231,FAULT TDO ZONE 7  BURNER M1540.07 E231
W4764  8,DIFAE 232,FAULT TDO ZONE 8  BURNER M1540.08 E232
W4764  9,DIFAE 233,FAULT TDO ZONE 9  BURNER M1540.09 E233
W4764  A,DIFAE 234,FAULT TDO ZONE 10 BURNER M1540.10 E234
W4764  B,DIFAE 235,FAULT TDO ZONE 11 BURNER M1540.10 E235
W4764  C,DIFAE 236,FAULT TDO ZONE 12 BURNER M1540.12 E236
W4764  D,DIFAE 237,FAULT TDO ZONE 13 BURNER M1540.13 E237
W4764  E,DIFAE 238,FAULT TDO ZONE 14 BURNER M1540.14 E238
W4764  F,DIFAE 239,FAULT TDO ZONE 15 BURNER M1540.15 E239
,,
W4765  0,DIFAE 240,FAULT TDO ZONE 16 BURNER M1540.16 E240
W4765  1,DIFAE 241,FAULT TDO ZONE 17 BURNER M1540.17 E241
W4765  2,DIFAE 242,FAULT TDO ZONE 18 BURNER M1540.18 E242
W4765  3,DIFAE 243,FAULT TDO ZONE 19 BURNER M1540.19 E243
W4765  4,DIFAE 244,FAULT TDO ZONE 20 BURNER M1540.20 E244
W4765  5,,
W4765  6,,
W4765  7,,
W4765  8,,
W4765  9,,
W4765  A,,
W4765  B,,
W4765  C,,
W4765  D,,
W4765  E,,
W4765  F,,
,,
W4766  0,DIFM 126301,DEFECT OF CHILL ROLL EXHAUST HOOD  M1263.01
W4766  1,DIFM 133001,DEFECT OF CHILL ROLL WATER REMOVAL M1330.01
W4766  2,DIFM 131001,DEFECT OF CHILL ROLL WATER REMOVAL M1330.02
W4766  3,DIFM 131002,DEFECT OF CHILL ROLL WATER REMOVAL M1330.03
W4766  4,DIFM 131003,DEFECT OF CHILL ROLL WATER REMOVAL M1310.03
W4766  5,DIFM 130101,DEFECT OF HORIZONTAL MOVEMENT  M1301.01
W4766  6,DIFM 130102,DEFECT OF CHILL ROLL BRAKE Y1301.02
W4766  7,DIFM 136001,DEFECT OF AUXILIARY WINDER #1  M1360.01
W4766  8,,
W4766  9,,
W4766  A,DIFM 145001,DEFECT OF AUXILIARY WINDER #2  M1450.01
W4766  B,,
W4766  C,,
W4766  D,,
W4766  E,DIFM 151501,DEFECT OF TDO CHAIN TENSION SYSTEM M1515.01
W4766  F,,
,,
W4767  0,DIFM 181201,DEFECT OF VACUUM ROLL #1  M1812.01
W4767  1,DIFM 181501,DEFECT OF VACUUM ROLL #2  M1825.01
W4767  2,DIFM 183101,DEFECT OF OZONE EXHAUST BLOWER #1  M1831.01
W4767  3,DIFM 183102,DEFECT OF OZONE EXHAUST BLOWER #2  M1831.02
W4767  4,DIFM 1860A1,DEFECT OF AUXILIARY WINDER #3
W4767  5,DIFM 183103,DEFECT OF OZONE EXHAUST BLOWER #3  M1831.03
W4767  6,,
W4767  7,,
W4767  8,,
W4767  9,,
W4767  A,,
W4767  B,,
W4767  C,,
W4767  D,,
W4767  E,,
W4767  F,,
,,
W4768  0,,
W4768  1,,
W4768  2,,
W4768  3,,
W4768  4,,
W4768  5,,
W4768  6,,
W4768  7,,
W4768  8,,
W4768  9,,
W4768  A,,
W4768  B,,
W4768  C,,
W4768  D,,
W4768  E,,
W4768  F,,
,,
W4770  0,ZS 130103,CHILL ROLL HAND CRANK ENGAGE ZS 1301-03
W4770  1,SV 131011,ROLL CARRIAGE FILM REMOVAL POSITION  (ENG)
W4770  2,SV 131013,RUBBER ROLL WATER REMOVAL POSITION   (ENG)
W4770  3,SV 131012,CHROMED ROLL WATER REMOVAL POSITION  (ENG)
W4770  4,SV 131009,CHILL ROLL AIR KNIFE ENGAGE SV 1310.09
W4770  5,SV 131010,CHILL ROLL EDGE PINNING ON  SV 1310.09
W4770  6,ZS 130104,CHILL ROLL ON HOME POSITION ZS 1301.04
W4770  7,ZS 130105,CHILL ROLL HIGH LOW SPEED   ZS 1301.05
W4770  8,ZS 130106,CHILL ROLL IN WORKING POSITION  ZS 1301.06
W4770  9,TSH 136003,HIGH TEMP. ALARM AUX. WINDER 1 TSH 1360.03
W4770  A,LSL 135003,CHILL ROLL MDO LOW LEVEL TANK LSL  1350.03
W4770  B,AUX1LENG,CHILL ROLL AUX. WINDER 1 ENGAGE
W4770  C,WBON,CHILL ROLL WATER BATH ON
W4770  D,WBAUTO,CHILL ROLL WATER BATH AUTO
W4770  E,AUX1RET,CHILL ROLL AUX. WINDER 1 RETRACT
W4770  F,PESCR,PROCESS STOP CHILL
,,
W4771  0,ROLL1ENG,MDO NIP ROLL 1 IN WORK POS. ZSH 1404.06.07
W4771  1,ROLL2ENG,MDO NIP ROLL 2 IN WORK POS. ZSH 1404.08.09
W4771  2,ROLL3ENG,MDO NIP ROLL 3 IN WORK POS. ZSH 1404.10.11
W4771  3,INLET,MDO PRES. ROLL INLET  IN POS. ZSE 1404.12.13
W4771  4,OUTLET,MDO PRES. ROLL OUTLET IN POS. ZSE 1404.14.15
W4771  5,DR1HOME,DRAW ROLL 1 IN HOME POSITION ZSH 1402.07
W4771  6,DR1WORK,DRAW ROLL 1 IN WORKING POSITION
W4771  7,DR2HOME,DRAW ROLL 2 IN HOME POSITION ZSH 1402.15
W4771  8,DR2WORK,DRAW ROLL 2 IN WORKING POSITION
W4771  9,DR3HOME,DRAW ROLL 3 IN HOME POSITION ZSH 1402.15
W4771  A,DR3WORK,DRAW ROLL 3 IN WORKING POSITION
W4771  B,,
W4771  C,,
W4771  D,ZTMDO,BREAK FILM MDO ZT 1420.01 ST 1420.02
W4771  E,BYPASSMDO,BYPASS MDO
W4771  F,PESMDO,PROCESS STOP MDO
,,
W4772  0,TSH 145003,AUXILIARY WINDER 2 TSH 1450.03
W4772  1,AUX2ENG,AUX WINDER 2 ENGAGE  SV 1450.05
W4772  2,AUX2RET,AUX WINDER 2 RETRACT SV 1450.04
W4772  3,,
W4772  4,,
W4772  5,DICLIPOFF,TDO AIR ON CLIPS SZ 1511.03 OFF
W4772  6,DICLIPON,AIR ON CLIPS     SV 1511.03 ON
W4772  7,DICLIPAUTO,O AIR ON CLIPS   SV 1511.03 AUTO
W4772  8,ZT 153102,WEB BREAK BEFORE COOLING ZONE ZT 1531.02
W4772  9,ZT 153101,WEB BREAK AFTER STRET. ZONE   ZT 1531.01
W4772  A,BYPASSAUTO,BYPASS TDO
W4772  B,ZS 151506,SECURITY SWITCH ZS 1515.06 (RIGHT)
W4772  C,ZS 151507,SECURITY SWITCH ZS 1515.07 (LEFT)
W4772  D,PSL 151503,LOW PRES. CHAIN TENSION (B305) PSL 1515.03
W4772  E,LSL 151502,LOW LEVEL CHAIN TENSION (B302) LSL 1515.02
W4772  F,PESTDO,PROCESS STOP TDO
,,
W4773  0,FSL 183106,CORONA #1 OZONE EXHAUST FLOW LOW FSL 1831.06
W4773  1,FSL 183107,CORONA #2 OZONE EXHAUST FLOW LOW FSL 1831.07
W4773  2,SPL 182009,CORONA ELECTRODE #1 LOW PRESSURE PSL 1820.09
W4773  3,PSL 182019,CORONA ELECTRODE #2 LOW PRESSURE PSL 1820.19
W4773  4,PSL 182014,CORONA ELECTRODE #3 LOW PRESSURE PSL 1820.14
W4773  5,CO1ENG,CORONA ELECTRODE #1 ENGAGED
W4773  6,CO2ENG,CORONA ELECTRODE #2 ENGAGED
W4773  7,CO3ENG,CORONA ELECTRODE #3 ENGAGED
W4773  8,,
W4773  9,,
W4773  A,SPR1ENG,"SPREADER ROLL #1 ENGAGED, SV 1840.01"
W4773  B,SPR2ENG,"SPREADER ROLL #2 ENGAGED, SV 1840.03"
W4773  C,SPR3ENG,"SPREADER ROLL #3 ENGAGED, SV 1840.05"
W4773  D,BYPASSPRS,PRS BYPASS
W4773  E,ZTPRS,PRS WEB BREAKER ZT 1840.10
W4773  F,PESPRS,PRS PROCESS STOP
,,
W4774  0,OPKNIENG,PRS RIGHT KNIFE (ENGAGE) SV 1850.03
W4774  1,DRIKNIENG,PRS LEFT KNIFE  (ENGAGE) SV 1850.04
W4774  2,OPROLLENG,LEFT NIP ROLL   (ENGAGE) SV 1850.01
W4774  3,DRIROLLENG,RIGHT NIP ROLL  (ENGAGE) SV 1850.02
W4774  4,AUX3ENG,PRS AUX. WINDER 3 (ENGAGE) SV 1860.01.02
W4774  5,GE1R,PRS GENERATOR 1 (G1820.01) RUNNING
W4774  6,GE1F,PRS GENERATOR 1 (G1820.01) FAULT
W4774  7,GE2R,PRS GENERATOR 2 (G1820.02) RUNNING
W4774  8,GE2F,PRS GENERATOR 2 (G1820.02) FAULT
W4774  9,GE3R,PRS GENERATOR 3 (G1820.03) RUNNING
W4774  A,GE3F,PRS GENERATOR 3 (G1820.03) FAULT
W4774  B,GE4R,PRS GENERATOR 4 (G1820.04) RUNNING
W4774  C,GE4F,PRS GENERATOR 4 (G1820.04) FAULT
W4774  D,FSL 183108,CORONA #3 OZONE EXHAUST FLOW LOW FSL 1831.03
W4774  E,TSHAUX3,PRS AUX WINDER 3 HIGH TEMP. ALARM
W4774  F,,
,,
W4775  0,ROLL6CPENG,ROLL 6 (NIP #1) CORONA PROXIMITY (ENG) SV 1820.20
W4775  1,ROLL8CPENG,ROLL 8 (NIP #3) CORONA PROXIMITY (ENG) SV 1820.15
W4775  2,,
W4775  3,ROTCR,CHILL ROLL ROTATION
W4775  4,ROTMDOS,ROTATION MDO SLOW
W4775  5,ROTMDOM,ROTATION MDO FAST1
W4775  6,ROTMDOF,ROTATION MDO FAST2
W4775  7,ROTTDO,ROTATION TDO
W4775  8,,
W4775  9,BINCTDO,TDO IN TEMPERATURE AUTOMATIC CONTROL
W4775  A,SPR2ENG,"SPREADER ROLL1 ENGAGED, SV 1840.02"
W4775  B,SPR4ENG,"SPREADER ROLL2 ENGAGED, SV 1840.04"
W4775  C,SPR6ENG,"SPREADER ROLL3 ENGAGED, SV 1840.06"
W4775  D,,
W4775  E,,
W4775  F,,
,,
W4776  0,FACR,FAULT VIEW CHILL ROLL
W4776  1,FAMDO1,FAULT VIEW MDO 1
W4776  2,FAMDO2,FAULT VIEW MDO 2
W4776  3,FATDO1,FAULT VIEW TDO 1
W4776  4,FATDO2,FAULT VIEW TDO 2
W4776  5,FATDO3,FAULT VIEW TDO 3
W4776  6,FATDO4,FAULT VIEW TDO 4
W4776  7,FAPRS,FAULT VIEW PRS
W4776  8,,
W4776  9,GES,GENERAL EMERGENCY STOP OF THE LINE
W4776  A,CRLEG,ONE EQUIPMENT RUNNING ON CHILL ROLL
W4776  B,MDOLEQ,ONE EQUIPMENT RUNNING ON MDO
W4776  C,TDOLEQ,ONE EQUIPMENT RUNNING ON TDO
W4776  D,CRALEQ,ALL EQUIPMENT RUNNING ON CHILL ROLL
W4776  E,MDOALLEQ,ALL EQUIPMENT RUNNING ON MDO
W4776  F,TDOALLEQ,ALL EQUIPMENT RUNNING ON TDO
,,
W4777  0,CRT,"TEMPERATURE H+, L- CHILL ROLL"
W4777  1,MDOT,"TEMPERATURE H+, L- MDO"
W4777  2,TDOT,"TEMPERATURE H+, L- TDO"
W4777  3,,
W4777  4,TDO1BUR,"ONE BURNER ""ON"" ON TDO"
W4777  5,TDOALLBUR,"ALL BURNER ""ON"" ON TDO"
W4777  6,,
W4777  7,,"SELECT SWITCH ""> 60 MICRO FOR SCREEN"
W4777  8,,
W4777  9,,
W4777  A,,
W4777  B,,
W4777  C,,
W4777  D,,
W4777  E,,
W4777  F,,
,,
W4778  0,CRI,INTERLOCK CHILL ROLL
W4778  1,MDO1I,INTERLOCK MDO 1
W4778  2,MDO2I,INTERLOCK MDO 2
W4778  3,MDO3I,INTERLOCK MDO 3
W4778  4,TDOI,INTERLOCK TDO
W4778  5,PRS1I,INTERLOCK PRS 1
W4778  6,PRS2I,INTERLOCK PRS 2
W4778  7,,
W4778  8,,
W4778  9,,
W4778  A,,
W4778  B,,
W4778  C,,
W4778  D,,
W4778  E,,
W4778  F,,
,,
W4779  0,,
W4779  1,,
W4779  2,,
W4779  3,,
W4779  4,,
W4779  5,,
W4779  6,,
W4779  7,,
W4779  8,,
W4779  9,,
W4779  A,,
W4779  B,,
W4779  C,,
W4779  D,,
W4779  E,,
W4779  F,,
,,
W4780  0,,
W4780  1,INTE225,INTERLOCK BURNER 1  ZONE 1  M 1450.01 (E225)
W4780  2,INTE226,INTERLOCK BURNER 2  ZONE 2  M 1450.02 (E226)
W4780  3,INTE227,INTERLOCK BURNER 3  ZONE 3  M 1450.03 (E227)
W4780  4,INTE228,INTERLOCK BURNER 4  ZONE 4  M 1450.04 (E228)
W4780  5,INTE229,INTERLOCK BURNER 5  ZONE 5  M 1450.05 (E229)
W4780  6,INTE230,INTERLOCK BURNER 6  ZONE 6  M 1450.06 (E230)
W4780  7,INTE231,INTERLOCK BURNER 7  ZONE 7  M 1450.07 (E231)
W4780  8,INTE232,INTERLOCK BURNER 8  ZONE 8  M 1450.08 (E232)
W4780  9,INTE233,INTERLOCK BURNER 9  ZONE 9  M 1450.09 (E233)
W4780  A,INTE234,INTERLOCK BURNER 10 ZONE 10 M 1450.10 (E234)
W4780  B,INTE235,INTERLOCK BURNER 11 ZONE 11 M 1450.11 (E235)
W4780  C,INTE236,INTERLOCK BURNER 12 ZONE 12 M 1450.12 (E236)
W4780  D,INTE237,INTERLOCK BURNER 13 ZONE 13 M 1450.13 (E237)
W4780  E,INTE238,INTERLOCK BURNER 14 ZONE 14 M 1450.14 (E238)
W4780  F,INTE239,INTERLOCK BURNER 15 ZONE 15 M 1450.15 (E239)
,,
W4781  0,INTE240,INTERLOCK BURNER 16 ZONE 16 M 1450.16 (E240)
W4781  1,INTE241,INTERLOCK BURNER 17 ZONE 17 M 1450.17 (E241)
W4781  2,INTE242,INTERLOCK BURNER 18 ZONE 18 M 1450.18 (E242)
W4781  3,INTE243,INTERLOCK BURNER 19 ZONE 19 M 1450.19 (E243)
W4781  4,INTE244,INTERLOCK BURNER 20 ZONE 20 M 1450.20 (E244)
W4781  5,,
W4781  6,,
W4781  7,,
W4781  8,,
W4781  9,,
W4781  A,,
W4781  B,,
W4781  C,,
W4781  D,,
W4781  E,,
W4781  F,,
,,
W4785  0,DIAM+0,AUTO/MANU R365
W4785  1,DILO+0,LOCKED
W4785  2,DIAC+0,"ALARM H+, L-"
W4785  3,DIAHR365,ALARM H
W4785  4,DIAL+0,ALARM L
W4785  5,DIDER365,DEFECT MEASURE
W4785  6,DIA+0,ALL ALARM
W4785  7,,
W4785  8,DIAM+8,AUTO/MANU R366
W4785  9,DILO+8,LOCKED
W4785  A,DIAC+8,"ALARM H+, L-"
W4785  B,DIAHR366,ALARM H
