PLC ADD ,Comment ,Unit,Mark 
CW273,(ESC T) XBT-V MESSAGE                                    Nb 6,,
CW274,(ESC T) XBT-V MESSAGE                                    Nb 6,,
CW275,(ESC T) XBT-V MESSAGE                                    Nb 6,,
CW276,(ESC T) XBT-V MESSAGE                                    Nb 6,,
CW277,(ESC T) XBT-V MESSAGE                                    Nb 6,,
CW278,(ESC T) XBT-V MESSAGE                                    Nb 7,,
CW279,(ESC T) XBT-V MESSAGE                                    Nb 7,,
CW280,(ESC T) XBT-V MESSAGE                                    Nb 7,,
CW281,(ESC T) XBT-V MESSAGE                                    Nb 7,,
CW282,(ESC T) XBT-V MESSAGE                                    Nb 7,,
CW283,(ESC T) XBT-V MESSAGE                                    Nb 7,,
CW284,(ESC T) XBT-V MESSAGE                                    Nb 7,,
CW285,(ESC T) XBT-V MESSAGE                                    Nb 7,,
CW286,(ESC T) XBT-V MESSAGE                                    Nb 7,,
CW287,(ESC T) XBT-V MESSAGE                                    Nb 7,,
CW288,(ESC T) XBT-V MESSAGE                                    Nb 7,,
CW289,(ESC T) XBT-V MESSAGE                                    Nb 7,,
CW290,(ESC T) XBT-V MESSAGE                                    Nb 7,,
CW291,(ESC T) XBT-V MESSAGE                                    Nb 7,,
CW292,(ESC T) XBT-V MESSAGE                                    Nb 8,,
CW293,(ESC T) XBT-V MESSAGE                                    Nb 8,,
CW294,(ESC T) XBT-V MESSAGE                                    Nb 8,,
CW295,(ESC T) XBT-V MESSAGE                                    Nb 8,,
CW296,(ESC T) XBT-V MESSAGE                                    Nb 8,,
CW297,(ESC T) XBT-V MESSAGE                                    Nb 8,,
CW298,(ESC T) XBT-V MESSAGE                                    Nb 8,,
CW299,(ESC T) XBT-V MESSAGE                                    Nb 8,,
CW300,(ESC T) XBT-V MESSAGE                                    Nb 8,,
CW301,(ESC T) XBT-V MESSAGE                                    Nb 8,,
CW302,(ESC T) XBT-V MESSAGE                                    Nb 8,,
CW303,(ESC T) XBT-V MESSAGE                                    Nb 8,,
CW304,(ESC T) XBT-V MESSAGE                                    Nb 8,,
CW305,(ESC T) XBT-V MESSAGE                                    Nb 8,,
CW306,(ESC T) XBT-V MESSAGE                                    Nb 9,,
CW307,(ESC T) XBT-V MESSAGE                                    Nb 9,,
CW308,(ESC T) XBT-V MESSAGE                                    Nb 9,,
CW309,(ESC T) XBT-V MESSAGE                                    Nb 9,,
CW310,(ESC T) XBT-V MESSAGE                                    Nb 9,,
CW311,(ESC T) XBT-V MESSAGE                                    Nb 9,,
CW312,(ESC T) XBT-V MESSAGE                                    Nb 9,,
CW313,(ESC T) XBT-V MESSAGE                                    Nb 9,,
CW314,(ESC T) XBT-V MESSAGE                                    Nb 9,,
CW315,(ESC T) XBT-V MESSAGE                                    Nb 9,,
CW316,(ESC T) XBT-V MESSAGE                                    Nb 9,,
CW317,(ESC T) XBT-V MESSAGE                                    Nb 9,,
CW318,(ESC T) XBT-V MESSAGE                                    Nb 9,,
CW319,(ESC T) XBT-V MESSAGE                                    Nb 9,,
CW320,(ESC T) XBT-V MESSAGE                                    Nb 10,,
CW321,(ESC T) XBT-V MESSAGE                                    Nb 10,,
CW322,(ESC T) XBT-V MESSAGE                                    Nb 10,,
CW323,(ESC T) XBT-V MESSAGE                                    Nb 10,,
CW324,(ESC T) XBT-V MESSAGE                                    Nb 10,,
CW325,(ESC T) XBT-V MESSAGE                                    Nb 10,,
CW326,(ESC T) XBT-V MESSAGE                                    Nb 10,,
CW327,(ESC T) XBT-V MESSAGE                                    Nb 10,,
CW328,(ESC T) XBT-V MESSAGE                                    Nb 10,,
CW329,(ESC T) XBT-V MESSAGE                                    Nb 10,,
CW330,(ESC T) XBT-V MESSAGE                                    Nb 10,,
CW331,(ESC T) XBT-V MESSAGE                                    Nb 10,,
CW332,(ESC T) XBT-V MESSAGE                                    Nb 10,,
CW333,(ESC T) XBT-V MESSAGE                                    Nb 10,,
CW334,(ESC T) XBT-V MESSAGE                                    Nb 11,,
CW335,(ESC T) XBT-V MESSAGE                                    Nb 11,,
CW336,(ESC T) XBT-V MESSAGE                                    Nb 11,,
CW337,(ESC T) XBT-V MESSAGE                                    Nb 11,,
CW338,(ESC T) XBT-V MESSAGE                                    Nb 11,,
CW339,(ESC T) XBT-V MESSAGE                                    Nb 11,,
CW340,(ESC T) XBT-V MESSAGE                                    Nb 11,,
