,F12\BIT.DOC
B 610,FREE
B 611,FREE
B 612,FREE
B 613,FREE
B 614,FREE
B 615,"NOT LSH 1104.02, HOMO DRYING HOPPER HIGH LEVEL"
B 616,"LSH 1104.02, HOMO DRYING HOPPER HIGH LEVEL"
B 617,"LSH 1104.02, LAST FOR (T76) TIME"
B 618,FREE
B 619,FREE
B 620,FREE
B 621,"NOT LSH 1104.04, RECLAIM DRYING HOPPER HIGH LEVEL"
B 622,"LSH 1104.04, RECLAIM DRYING HOPPER HIGH LEVEL"
B 623,"LSH 1104.04, LAST FOR (T77) TIME"
B 624,MIXING HOPPER FEEDING VALVE CLOSE
B 625,MIXING HOPPER FEEDING VALVE OPEN
B 626,FREE
B 627,FREE
B 628,FREE
B 629,FREE
B 630,FREE
B 631,ADDITIVE PUMP OFF                M1107.01
B 632,ADDITIVE PUMP ON                 M1107.01
B 633,FREE
B 634,FREE
B 635,FREE
B 636,FREE
B 637,FREE
B 638,FREE
B 639,FREE
B 640,FREE
B 641,FREE
B 642,FREE
B 643,FREE
B 644,FREE
B 645,FREE
B 646,FREE
B 647,FREE
B 648,FREE
B 649,FREE
B 650,FREE
B 651,FREE
B 652,FREE
B 653,FREE
B 654,FREE
B 655,FREE
B 656,FREE
B 657,FREE
B 658,FREE
B 659,FREE
B 660,FREE
B 661,FREE
B 662,FREE
B 663,FREE
B 664,FREE
B 665,FREE
B 666,FREE
B 667,FREE
B 668,FREE
B 669,FREE
B 670,FREE
B 671,FREE
B 672,FREE
B 673,FREE
B 674,FREE
B 675,FREE
B 676,FREE
B 677,FREE
B 678,FREE
B 679,FREE
B 680,FREE
B 681,FREE
B 682,FREE
B 683,FREE
B 684,FREE
B 685,FREE
B 686,FREE
B 687,FREE
B 688,FREE
B 689,FREE
B 690,P511 TIMER DELAY ACTIONS FOR MAIN EXT. 1 INTERLOCK
B 691,P512 TIMER DELAY ACTIONS FOR MAIN EXT. 1 INTERLOCK
B 692,FREE
B 693,FREE
B 694,FREE
B 695,FREE
B 696,FREE
B 697,MELT LINE OVER TEMP
B 698,MELT LINE HIGH LEVEL-DEFECT
B 699,MELT LINE LOW LEVEL- DEFECT
B 700,ALARM H                P501
B 701,ALARM H                P503
B 702,ALARM H                P505
B 703,ALARM H                P507
B 704,ALARM H                P511
B 705,ALARM H                P512
B 706,ALARM H                P514
B 707,ALARM H                P516
B 708,FREE
B 709,FREE
B 710,FREE
B 711,FREE
B 712,FREE
B 713,FREE
B 714,FREE
B 715,FREE
B 716,FREE
B 717,FREE
B 718,FREE
B 719,FREE
B 720,FREE
B 721,FREE
B 722,FREE
B 723,FREE
B 724,FREE
B 725,FREE
B 726,FREE
B 727,FREE
B 728,FREE
B 729,FREE
B 730,FREE
B 731,FREE
B 732,FREE
B 733,FREE
B 734,FREE
B 735,FREE
B 736,FREE
B 737,FREE
B 738,FREE
B 739,FREE
B 740,FREE
B 741,FREE
B 742,FREE
B 743,FREE
B 744,FREE
B 745,FREE
B 746,FREE
B 747,FREE
B 748,FREE
B 749,FREE
B 750,FREE
B 751,FREE
B 752,FREE
B 753,FREE
B 754,FREE
B 755,FREE
B 756,FREE
B 757,FREE
B 758,FREE
B 759,FREE
B 760,BIT END OF STARTING SAT EXT1 EQUIP
B 761,BIT END OF STARTING SAT EXT1 FILTER
B 762,BIT END OF STARTING SAT EXT1 MELT LINE
B 763,BIT END OF STARTING SAT EXT2 EQUIP
B 764,BIT END OF STARTING SAT EXT2 FILTER
B 765,BIT END OF STARTING SAT EXT2 MELT LINE
B 766,BIT END OF STARTING MAIN EXT1 EQUIP
B 767,BIT END OF STARTING MAIN EXT1 FILTER
B 768,BIT END OF STARTING MAIN EXT1 MELT LINE
B 769,BIT END OF STARTING MAIN EXT2 EQUIP
B 770,BIT END OF STARTING MAIN EXT2 FILTER
B 771,BIT END OF STARTING MAIN EXT2 MELT LINE
B 772,BIT END OF STARTING DIE EQUIP
B 773,FREE
B 774,FREE
B 775,FREE
B 776,FREE
B 777,FREE
B 778,FREE
B 779,FREE
B 780,BIT START SAT EXT1 EQUIP
B 781,BIT START SAT EXT1 FILTER
B 782,BIT START SAT EXT1 MELT LINE
B 783,BIT START SAT EXT2 EQUIP
B 784,BIT START SAT EXT2 FILTER
B 785,BIT START SAT EXT2 MELT LINE
B 786,BIT START MAIN EXT1 EQUIP
B 787,BIT START MAIN EXT1 FILTER
B 788,BIT START MAIN EXT1 MELT LINE
B 789,BIT START MAIN EXT2 EQUIP
B 790,BIT START MAIN EXT2 FILTER
B 791,BIT START MAIN EXT2 MELT LINE 
B 792,BIT START DIE EQUIP
B 793,BIT START FOR MAIN MELT LINE
B 794,FREE
B 795,FREE
B 796,FREE
B 797,FREE
B 798,FREE
B 799,FREE
B 800,BIT START SAT EXT1 E100
B 801,BIT START SAT EXT1 E101
B 802,BIT START SAT EXT1 E102
B 803,BIT START SAT EXT1 E103
B 804,BIT START SAT EXT1 E104
B 805,BIT START SAT EXT1 E105
B 806,BIT START SAT EXT1 E106
B 807,BIT START SAT EXT1 E107
B 808,BIT START SAT EXT1 E108
B 809,FREE
B 810,BIT START SAT EXT2 E110
B 811,BIT START SAT EXT2 E111
B 812,BIT START SAT EXT2 E112
B 813,BIT START SAT EXT2 E113
B 814,BIT START SAT EXT2 E114
B 815,BIT START SAT EXT2 E115
B 816,BIT START SAT EXT2 E116
B 817,BIT START SAT EXT2 E117
B 818,BIT START SAT EXT2 E118
B 819,FREE
B 820,BIT START MAIN EXT1 E120
