PLC ADR,ALIAS TO ,DESCRIPTION,UNIT,,,,,
W[161],,SPEED MEASURE MDO2,"xxx,xFpm",,,,,
W[162],,SPEED MEASURE MDO3,"xxx,xFpm",,,,,
W[163],,SPEED MEASURE TDO,"xxx,xFpm",,,,,
W[164],,SPEED MEASURE PRS1,"xxx,xFpm",,,,,
W[165],,SPEED MEASURE PRS2,"xxx,xFpm",,,,,
W[166],,CURRENT MEASURE EXT1,xxxxAmp,,,,,
W[167],,CURRENT MEASURE EXT2,xxxxAmp,,,,,
W[168],,CURRENT MEASURE SAT1,xxxAmp,,,,,
W[169],,CURRENT MEASURE SAT2,xxxAmp,,,,,
W[170],,CURRENT MEASURE CR,"xx,xAmp",,,,,
W[171],,CURRENT MEASURE MDO1,"xx,xAmp",,,,,
W[172],,CURRENT MEASURE MDO2,xxxAmp,,,,,
W[173],,CURRENT MEASURE MDO3,xxxAmp,,,,,
W[174],,CURRENT MEASURE TDO,xxxAmp,,,,,
W[175],,CURRENT MEASURE PRS1,"xx,xAmp",,,,,
W[176],,CURRENT MEASURE PRS2,"xx,xAmp",,,,,
W[177],,FREE,,,,,,
W[178],,FREE,,,,,,
W[179],,FREE,,,,,,
W[180],,FRICTION MDO1/CR,"x,xxx",,,,,
W[181],,FRICTION TDO/MDO3,"x,xxx",,,,,
W[182],,FRICTION PRS1/TDO,"x,xxx",,,,,
W[183],,FRICTION PRS2/PRS1,"x,xxx",,,,,
W[184],,FRICTION EXT1/EXT2,"x,xxx",,,,,
W[185],,GAUGE MDO3/TDO,xxxLb,,,,,
W[186],,RATIO CR/EXT,"x,xxx",,,,,
W[187],,RATIO CR/SAT1,"x,xxx",,,,,
W[188],,RATIO CR/SAT2,"x,xxx",,,,,
W[189],,FREE,,,,,,
W[190],,STRETCHING MDO2/MDO1,"x,xxx",,,,,
W[191],,STRETCHING MDO3/MDO2,"x,xxx",,,,,
W[192],,FREE,,,,,,
W[193],,FREE,,,,,,
W[194],,FREE,,,,,,
W[195],,FREE,,,,,,
W[196],,FREE,,,,,,
W[197],,FREE,,,,,,
W[198],,FREE,,,,,,
W[199],,FREE,,,,,,
W[200],,FREE,,,,,,
W[201],,FREE,,,,,,
W[202],,FREE,,,,,,
W[203],,FREE,,,,,,
W[204],,FREE,,,,,,
W[205],,FREE,,,,,,
W[206],,FREE,,,,,,
W[207],,FREE,,,,,,
W[208],,FREE,,,,,,
W[209],,FREE,,,,,,
W[210],,FREE,,,,,,
W[211],,FREE,,,,,,
W[212],,FREE,,,,,,
W[213],,FREE,,,,,,
W[214],,FREE,,,,,,
W[215],,FREE,,,,,,
W[216],,FREE,,,,,,
W[217],,FREE,,,,,,
W[218],,FREE,,,,,,
