ADD,ALIAS TO , DESCRIPTION,UNIT,,,
b[267],,REQUEST STOP IN MANUAL MDO2,,,,
b[268],,REQUEST STOP IN MANUAL MDO3,,,,
b[269],,"MDO TOP SAFETY CABLE PROCESS STOP (L3,4)",,,,
b[270],,REQUEST STOP IN MANUAL PRS1,,,,
b[271],,REQUEST STOP IN MANUAL PRS2,,,,
b[272],,FREE,,,,
b[273],,FREE,,,,
b[274],,FREE,,,,
b[275],,FREE,,,,
b[276],,FREE,,,,
b[277],,FREE,,,,
b[278],,FREE,,,,
b[279],,FREE,,,,
b[280],,FREE,,,,
b[281],,DEFECT + D. I EXT1,,,,
b[282],,DEFECT + D. I EXT2,,,,
b[283],,DEFECT + D. I SAT1,,,,
b[284],,DEFECT + D. I SAT2,,,,
b[285],,DEFECT + D. I CR,,,,
b[286],,DEFECT + D. I MDO1,,,,
b[287],,DEFECT + D. I MDO2,,,,
b[288],,DEFECT + D. I MDO3,,,,
b[289],,DEFECT + D. I TDO,,,,
b[290],,DEFECT + D. I PRS1,,,,
b[291],,DEFECT + D. I PRS2,,,,
b[292],,DEFECT + D. I AUX1,,,,
b[293],,DEFECT + D. I AUX2,,,,
b[294],,DEFECT + D. I WINDIER,,,,
b[295],,FREE,,,,
b[296],,FREE,,,,
b[297],,FREE,,,,
b[298],,FREE,,,,
b[299],,FREE,,,,
b[300],,NEGATIVE VALUE FROM PC (IF<0 THEN 0),,,,
b[301],,NEGATIVE VALUE FROM PC (IF<0 THEN 0),,,,
b[302],,NEGATIVE VALUE FROM PC (IF<0 THEN 0),,,,
b[303],,NEGATIVE VALUE FROM PC (IF<0 THEN 0),,,,
b[304],,NEGATIVE VALUE FROM PC (IF<0 THEN 0),,,,
b[305],,NEGATIVE VALUE FROM PC (IF<0 THEN 0),,,,
b[306],,NEGATIVE VALUE FROM PC (IF<0 THEN 0),,,,
b[307],,NEGATIVE VALUE FROM PC (IF<0 THEN 0),,,,
b[308],,NEGATIVE VALUE FROM PC (IF<0 THEN 0),,,,
b[309],,NEGATIVE VALUE FROM PC (IF<0 THEN 0),,,,
b[310],,NEGATIVE VALUE FROM PC (IF<0 THEN 0),,,,
b[311],,NEGATIVE VALUE FROM PC (IF<0 THEN 0),,,,
b[312],,NEGATIVE VALUE FROM PC (IF<0 THEN 0),,,,
b[313],,NEGATIVE VALUE FROM PC (IF<0 THEN 0),,,,
b[314],,NEGATIVE VALUE FROM PC (IF<0 THEN 0),,,,
b[315],,NEGATIVE VALUE FROM PC (IF<0 THEN 0),,,,
b[316],,VALUE >10000 PTS (IF>10000 THEN 10000),,,,
b[317],,VALUE >10000 PTS (IF>10000 THEN 10000),,,,
b[318],,VALUE >10000 PTS (IF>10000 THEN 10000),,,,
b[319],,VALUE >10000 PTS (IF>10000 THEN 10000),,,,
b[320],,VALUE >10000 PTS (IF>10000 THEN 10000),,,,
b[321],,VALUE >10000 PTS (IF>10000 THEN 10000),,,,
b[322],,VALUE >10000 PTS (IF>10000 THEN 10000),,,,
b[323],,VALUE >10000 PTS (IF>10000 THEN 10000),,,,
