PLC ADR,ALIAS TO ,DESCRIPTION,UNIT,
CW[215],,SCALE DIVIDER FOR SPEED MDO1,RpM -> .1FpM,
CW[216],,SCALE DIVIDER FOR SPEED MDO2,RpM -> FpM,
CW[217],,SCALE DIVIDER FOR SPEED MDO3,RpM -> FpM,
CW[218],,SCALE DIVIDER FOR SPEED TDO,RpM -> FpM,
CW[219],,SCALE DIVIDER FOR SPEED PRS1,RpM -> FpM,
CW[220],,SCALE DIVIDER FOR SPEED PRS2,RpM -> FpM,
CW[221],,SCALE DIVIDER FOR CURRENT EXT1,AmP -> AmP,
CW[222],,SCALE DIVIDER FOR CURRENT EXT2,AmP -> AmP,
CW[223],,SCALE DIVIDER FOR CURRENT SAT1,AmP -> AmP,
CW[224],,SCALE DIVIDER FOR CURRENT SAT2,AmP -> AmP,
CW[225],,SCALE DIVIDER FOR CURRENT CR,.1AmP -> .1AmP,
CW[226],,SCALE DIVIDER FOR CURRENT MDO1,AmP -> .1AmP,
CW[227],,SCALE DIVIDER FOR CURRENT MDO2,AmP -> AmP,
CW[228],,SCALE DIVIDER FOR CURRENT MDO3,AmP -> AmP,
CW[229],,SCALE DIVIDER FOR CURRENT TDO,AmP -> AmP,
CW[230],,SCALE DIVIDER FOR CURRENT PRS1,.1AmP -> .1AmP,
CW[231],,SCALE DIVIDER FOR CURRENT PRS2,AmP -> .1AmP,
CW[232],,FREE,,
CW[233],,FREE,,
CW[234],,FREE,,
CW[235],,FREE,,
CW[236],,FREE,,
CW[237],,FREE,,
CW[238],,FREE,,
CW[239],,FREE,,
CW[240],,FREE,,
CW[241],,FREE,,
CW[242],,FREE,,
CW[243],,FREE,,
CW[244],,FREE,,
CW[245],,FREE,,
CW[246],,OFFSET AEM /04,,
CW[247],,OFFSET AEM /04,,
CW[248],,OFFSET AEM /04,,
CW[249],,OFFSET AEM /04,,
CW[250],,OFFSET AEM /04,GAUGE -> CR,
CW[251],,OFFSET AEM /04,D/R MDO1,
CW[252],,OFFSET AEM /04,D/R TDO,
CW[253],,OFFSET AEM /04,,
CW[254],,NUMERATOR AEM /04,,
CW[255],,NUMERATOR AEM /04,,
CW[256],,NUMERATOR AEM /04,,
CW[257],,NUMERATOR AEM /04,,
CW[258],,NUMERATOR AEM /04,GAUGE -> CR,
CW[259],,NUMERATOR AEM /04,D/R MDO1,
CW[260],,NUMERATOR AEM /04,D/R TDO,
CW[261],,NUMERATOR AEM /04,,
CW[262],,DENOMINATOR AEM /04,,
CW[263],,DENOMINATOR AEM /04,,
CW[264],,DENOMINATOR AEM /04,,
CW[265],,DENOMINATOR AEM /04,,
CW[266],,DENOMINATOR AEM /04,GAUGE -> CR,
CW[267],,DENOMINATOR AEM /04,D/R MDO1,
CW[268],,DENOMINATOR AEM /04,D/R TDO,
CW[269],,DENOMINATOR AEM /04,,
CW[270],,OFFSET AEM /05,PRE EXT1,
CW[271],,OFFSET AEM /05,PRE EXT1,
CW[272],,OFFSET AEM /05,PRE EXT2,
CW[273],,OFFSET AEM /05,PRE EXT2,
CW[274],,OFFSET AEM /05,PRE SAT1,
CW[275],,OFFSET AEM /05,PRE SAT1,
CW[276],,OFFSET AEM /05,PRE SAT2,
CW[277],,OFFSET AEM /05,PRE SAT2,
CW[278],,NUMERATOR AEM /05,PRE EXT1,
CW[279],,NUMERATOR AEM /05,PRE EXT1,
CW[280],,NUMERATOR AEM /05,PRE EXT2,
CW[281],,NUMERATOR AEM /05,PRE EXT2,
CW[282],,NUMERATOR AEM /05,PRE SAT1,
CW[283],,NUMERATOR AEM /05,PRE SAT1,
CW[284],,NUMERATOR AEM /05,PRE SAT2,
CW[285],,NUMERATOR AEM /05,PRE SAT2,
CW[286],,DENOMINATOR AEM /05,PRE EXT1,
CW[287],,DENOMINATOR AEM /05,PRE EXT1,
CW[288],,DENOMINATOR AEM /05,PRE EXT2,
CW[289],,DENOMINATOR AEM /05,PRE EXT2,
CW[290],,DENOMINATOR AEM /05,PRE SAT1,
CW[291],,DENOMINATOR AEM /05,PRE SAT1,
CW[292],,DENOMINATOR AEM /05,PRE SAT2,
CW[293],,DENOMINATOR AEM /05,PRE SAT2,
CW[294],,FREE,,
CW[295],,FREE,,
CW[296],,FREE,,
CW[297],,FREE,,
CW[298],,FREE,,
CW[299],,FREE,,
CW[300],,PARTITION N1 XBT1 & XBT2 PAGE 1,B570,
CW[301],,PARTITION N1 XBT1 & XBT2 PAGE 1,B590,
CW[302],,PARTITION N1 XBT1 & XBT2 PAGE 1,W1608,
CW[303],,PARTITION N1 XBT1 & XBT2 PAGE 1,B500,
CW[304],,PARTITION N1 XBT1 & XBT2 PAGE 1,W1600,
CW[305],,PARTITION N1 XBT1 & XBT2 PAGE 1,B501,
CW[306],,PARTITION N1 XBT1 & XBT2 PAGE 1,W1604,
CW[307],,PARTITION N1 XBT1 & XBT2 PAGE 1,B502,
CW[308],,PARTITION N1 XBT1 & XBT2 PAGE 1,W1601,
CW[309],,PARTITION N1 XBT1 & XBT2 PAGE 1,B503,
CW[310],,PARTITION N2 XBT1 & XBT2 PAGE 1,B571,
CW[311],,PARTITION N2 XBT1 & XBT2 PAGE 1,B591,
CW[312],,PARTITION N2 XBT1 & XBT2 PAGE 1,W1607,
CW[313],,PARTITION N2 XBT1 & XBT2 PAGE 1,B504,
CW[314],,PARTITION N2 XBT1 & XBT2 PAGE 1,B572,
CW[315],,PARTITION N2 XBT1 & XBT2 PAGE 1,B592,
CW[316],,PARTITION N2 XBT1 & XBT2 PAGE 1,B573,
CW[317],,PARTITION N2 XBT1 & XBT2 PAGE 1,B593,
CW[318],,PARTITION N2 XBT1 & XBT2 PAGE 1,W1620,
CW[319],,PARTITION N2 XBT1 & XBT2 PAGE 1,0,
CW[320],,PARTITION N3 XBT1 & XBT2 PAGE 1,B620,
CW[321],,PARTITION N3 XBT1 & XBT2 PAGE 1,W1508,
CW[322],,PARTITION N3 XBT1 & XBT2 PAGE 1,B634,
CW[323],,PARTITION N3 XBT1 & XBT2 PAGE 1,W1538,
CW[324],,PARTITION N3 XBT1 & XBT2 PAGE 1,0,
CW[325],,PARTITION N3 XBT1 & XBT2 PAGE 1,W1500,
CW[326],,PARTITION N3 XBT1 & XBT2 PAGE 1,W1501,
CW[327],,PARTITION N3 XBT1 & XBT2 PAGE 1,W1520,
CW[328],,PARTITION N3 XBT1 & XBT2 PAGE 1,W1509,
CW[329],,PARTITION N3 XBT1 & XBT2 PAGE 1,W1502,
CW[330],,PARTITION N4 XBT1 & XBT2 PAGE 1,B619,
CW[331],,PARTITION N4 XBT1 & XBT2 PAGE 1,W1505,
CW[332],,PARTITION N4 XBT1 & XBT2 PAGE 1,W1507,
CW[333],,PARTITION N4 XBT1 & XBT2 PAGE 1,W1523,
CW[334],,PARTITION N4 XBT1 & XBT2 PAGE 1,W1512,
CW[335],,PARTITION N4 XBT1 & XBT2 PAGE 1,W1519,
CW[336],,PARTITION N4 XBT1 & XBT2 PAGE 1,W1503,
CW[337],,PARTITION N4 XBT1 & XBT2 PAGE 1,W1530,
CW[338],,PARTITION N4 XBT1 & XBT2 PAGE 1,B574,
CW[339],,PARTITION N4 XBT1 & XBT2 PAGE 1,B594,
CW[340],,PARTITION N1 XBT1 & XBT2 PAGE 2,B570,
CW[341],,PARTITION N1 XBT1 & XBT2 PAGE 2,B590,
CW[342],,PARTITION N1 XBT1 & XBT2 PAGE 2,W1605,
CW[343],,PARTITION N1 XBT1 & XBT2 PAGE 2,B516,
CW[344],,PARTITION N1 XBT1 & XBT2 PAGE 2,W1606,
CW[345],,PARTITION N1 XBT1 & XBT2 PAGE 2,B520,
CW[346],,PARTITION N1 XBT1 & XBT2 PAGE 2,W1607,
CW[347],,PARTITION N1 XBT1 & XBT2 PAGE 2,B518,
CW[348],,PARTITION N1 XBT1 & XBT2 PAGE 2,W1602,
CW[349],,PARTITION N1 XBT1 & XBT2 PAGE 2,B517,
CW[350],,PARTITION N2 XBT1 & XBT2 PAGE 2,B571,
CW[351],,PARTITION N2 XBT1 & XBT2 PAGE 2,B591,
CW[352],,PARTITION N2 XBT1 & XBT2 PAGE 2,W1603,
CW[353],,PARTITION N2 XBT1 & XBT2 PAGE 2,B519,
CW[354],,PARTITION N2 XBT1 & XBT2 PAGE 2,B572,
CW[355],,PARTITION N2 XBT1 & XBT2 PAGE 2,B592,
CW[356],,PARTITION N2 XBT1 & XBT2 PAGE 2,B573,
CW[357],,PARTITION N2 XBT1 & XBT2 PAGE 2,B593,
CW[358],,PARTITION N2 XBT1 & XBT2 PAGE 2,W1622,
CW[359],,PARTITION N2 XBT1 & XBT2 PAGE 2,W1621,
CW[360],,PARTITION N3 XBT1 & XBT2 PAGE 2,B621,
CW[361],,PARTITION N3 XBT1 & XBT2 PAGE 2,W1521,
CW[362],,PARTITION N3 XBT1 & XBT2 PAGE 2,W1510,
CW[363],,PARTITION N3 XBT1 & XBT2 PAGE 2,W1504,
CW[364],,PARTITION N3 XBT1 & XBT2 PAGE 2,W1540,
CW[365],,PARTITION N3 XBT1 & XBT2 PAGE 2,W1505,
CW[366],,PARTITION N3 XBT1 & XBT2 PAGE 2,W1522,
CW[367],,PARTITION N3 XBT1 & XBT2 PAGE 2,W1511,
CW[368],,PARTITION N3 XBT1 & XBT2 PAGE 2,W1506,
CW[369],,PARTITION N3 XBT1 & XBT2 PAGE 2,W1539,
CW[370],,PARTITION N4 XBT1 & XBT2 PAGE 2,B622,
CW[371],,PARTITION N4 XBT1 & XBT2 PAGE 2,W1523,
CW[372],,PARTITION N4 XBT1 & XBT2 PAGE 2,W1512,
CW[373],,PARTITION N4 XBT1 & XBT2 PAGE 2,W1503,
CW[374],,PARTITION N4 XBT1 & XBT2 PAGE 2,W1507,
CW[375],,PARTITION N4 XBT1 & XBT2 PAGE 2,B634,
CW[376],,PARTITION N4 XBT1 & XBT2 PAGE 2,B574,
CW[377],,PARTITION N4 XBT1 & XBT2 PAGE 2,B594,
