,F13 I/O LIST,,
,,,
,F13\INPUTBIT.DOC,,
I/O,DESCRIPTION,SYMBOL,PAGE #
WORD,,,(DRAW')
"I85,E",ANTENNA SENSOR O.S. - XE01               PRS,,85
"I85,F",ANTENNA SENSOR D.S. - XE01               PRS,,85
,,,
"I86,0",EXHAUST HOOD - START                     F32,,88
"I86,1",EXHAUST HOOD - STOP                      F32,,88
"I86,2",EDGE PINNING - START                     F32,,88
"I86,3",EDGE PINNING - STOP                      F32,,88
"I86,4",C. R. FORWARD                            F32,,88
"I86,5",C. R. BACKWARD                           F32,,88
"I86,6",C. R. STOP                               F32,,88
"I86,7",AIR KNIFE - ENGAGE                       F32,,88
"I86,8",AIR KNIFE - RETRACT                      F32,,89
"I86,9",AIR KNIFE BLOWER - START                 F32,,89
"I86,A",AIR KNIFE BLOWER - STOP                  F32,,89
"I86,B",FILM REMOVAL POS. ENGAGE                 F32,,89
"I86,C",FILM REMOVAL POS. RETRACT                F32,,89
"I86,D",RUBBER ROLL - ENGAGE                     F32,,89
"I86,E",RUBBER ROLL - RETRACT                    F32,,89
"I86,F",CHROMED ROLL - ENGAGE                    F32,,89
,,,
"I87,0",MDO STOP                                 F40,,92
"I87,1",THREADING SYSTEM - START                 F40,,92
"I87,2",THREADING SYSTEM - STOP                  F40,,92
"I87,3",(FREE),,92
"I87,4",TREADING SYSTEM - STOP                   F41,,92
"I87,5",MDO STOP                                 F41,,92
"I87,6",PRESS ROLL INLET - ENGAGE                F42,,92
"I87,7",PRESS ROLL INLET - RETRACT               F42,,92
"I87,8",PRESS ROLL OUTLET - ENGAGE               F42,,93
"I87,9",PRESS ROLL OUTLET - RETRACT              F42,,93
"I87,A",NIP ROLL 1 - ENGAGE                      F42,,93
"I87,B",NIP ROLL 1 - RETRACT                     F42,,93
"I87,C",NIP ROLL 2 - ENGAGE                      F42,,93
"I87,D",NIP ROLL 2 - RETRACT                     F42,,93
"I87,E",NIP ROLL 3 - ENGAGE                      F42,,93
"I87,F",NIP ROLL 3 - RETRACT                     F42,,93
,,,
"I90,0",PUMP ROLL #7&8                           F23,M1430-04,66
"I90,1",PUMP ROLL #9&10                          F23,M1430-05,66
"I90,2",PUMP ROLL #11&12                         F23,M1430-06,66
"I90,3",PUMP ROLL #13&14                         F23,M1430-07,66
"I90,4",PUMP ROLL #15&16                         F23,M1430-08,66
"I90,5",PUMP ROLL #17&18                         F23,M1430-09,66
"I90,6",PUMP ROLL #19&20                         F23,M1430-10,66
"I90,7",PUMP ROLL #21&22                         F23,M1430-11,66
"I90,8",PUMP ROLL #23&24                         F23,M1430-12,67
"I90,9",(FREE),,67
"I90,A",(FREE),,67
"I90,B",(FREE),,67
"I90,C",(FREE),,67
"I90,D",(FREE),,67
"I90,E",(FREE),,67
"I90,F",(FREE),,67
,,,
"I91,0",AIR FAN ZONE 5 (L.S)                     F24,M1520-05,70
"I91,1",AIR FAN ZONE 6 (H.S)                     F24,M1520-06,70
"I91,2",AIR FAN ZONE 6 (L.S)                     F24,M1520-06,70
"I91,3",AIR FAN ZONE 7 (H.S)                     F24,M1520-07,70
"I91,4",AIR FAN ZONE 7 (L.S)                     F24,M1520-07,70
"I91,5",AIR FAN ZONE 8 (H.S)                     F24,M1520-08,70
"I91,6",AIR FAN ZONE 8 (L.S)                     F24,M1520-08,70
"I91,7",AIR FAN ZONE 9 (H.S)                     F24,M1520-09,70
"I91,8",AIR FAN ZONE 9 (L.S)                     F24,M1520-09,71
"I91,9",AIR FAN 1 ZONE 10 (H.S)                  F24,M1520-10,71
"I91,A",AIR FAN 1 ZONE 10 (L.S)                  F24,M1520-10,71
"I91,B",AIR FAN 2 ZONE 10 (H.S)                  F24,M1520-11,71
"I91,C",AIR FAN 2 ZONE 10 (L.S)                  F24,M1520-11,71
"I91,D",AIR FAN 1 ZONE 11 (H.S)                  F24,M1520-12,71
"I91,E",AIR FAN 1 ZONE 11 (L.S)                  F24,M1520-12,71
"I91,F",AIR FAN 2 ZONE 11 (H.S)                  F24,M1520-13,71
,,,
"I92,0",AIR FAN 2 ZONE 15 (L.S)                  F24,M1520-21,74
"I92,1",AIR FAN 1 ZONE 16 (H.S)                  F24,M1520-22,74
"I92,2",AIR FAN 1 ZONE 16 (L.S)                  F24,M1520-22,74
"I92,3",AIR FAN 2 ZONE 16 (H.S)                  F24,M1520-23,74
"I92,4",AIR FAN 2 ZONE 16 (L.S)                  F24,M1520-23,74
"I92,5",AIR FAN 1 ZONE 17 (H.S)                  F24,M1520-24,74
"I92,6",AIR FAN 1 ZONE 17 (L.S)                  F24,M1520-24,74
"I92,7",AIR FAN 2 ZONE 17 (H.S)                  F24,M1520-25,74
"I92,8",AIR FAN 2 ZONE 17 (L.S)                  F24,M1520-25,75
"I92,9",AIR FAN 1 ZONE 18 (H.S)                  F24,M1520-26,75
"I92,A",AIR FAN 1 ZONE 18 (L.S)                  F24 ,M1520-26,75
"I92,B",AIR FAN 2 ZONE 18 (H.S)                  F24,M1520-27,75
"I92,C",AIR FAN 2 ZONE 18 (L.S)                  F24,M1520-27,75
"I92,D",AIR FAN 1 ZONE 19 (H.S)                  F24,M1520-28,75
"I92,E",AIR FAN 1 ZONE 19 (L.S)                  F24,M1520-28,75
"I92,F",AIR FAN 2 ZONE 19 (H.S)                  F24,M1520-29,75
,,,
"I93,0",FAN FOR VACUUM ROLL                      F24,M1825-01,78
"I93,1",OZONE EXHAUST 1                          F24,M1831-01,78
"I93,2",OZONE EXHAUST 2                          F24,M1831-02,78
"I93,3",OZONE EXHAUST 3                          F24,M1831-03,78
"I93,4",OZONE TREATER FAN 1                      F24,,78
"I93,5",OZONE TREATER FAN 2                      F24,,78
"I93,6",OZONE TREATER FAN 3                      F24,,78
"I93,7",OZONE TREATER FAN 4                      F24,,78
"I93,8",(FREE),,79
"I93,9",(FREE),,79
"I93,A",(FREE),,79
"I93,B",CHAIN TENSION - HYDRAULIC PUMP           F24,M1515-01,79
"I93,C",(FREE),,79
"I93,D",(FREE),,79
"I93,E",(FREE),,79
"I93,F",(FREE),,79
,,,
"I94,0",STRETCHING ROLL #3 LOW POS.              MDO,ZSL1402-12,82
"I94,1",STRETCHING ROLL #3 MIDDLE POS.           MDO,ZSM1402-13,82
"I94,2",STRETCHING ROLL #3 INTER. POS.           MDO,ZSI1402-14,82
"I94,3",STRETCHING ROLL #3 HIGH POS.             MDO,ZSH1402-15,82
"I94,4",MDO WEB BREAK OCT.                       MDO,ZT1420-01,82
"I94,5",MDO WEB BREAK OCT.                       MDO,ZT1420-02,82
"I94,6",TDO FAULT ALARM                          TDO ,,82
"I94,7","TDO FAST STOP , CRITICAL ALARM           TDO",,82
"I94,8",CHAIN TENSION OIL PUMP LOW LEVEL         TDO,LSL1515-02,83
"I94,9",CHAIN TENSION PUMP PRESSURE LOW          TDO,PSL1515-03,83
"I94,A",WEB BREAK FILM (F149) TDO EXIT           TDO,ZT1531-01,83
"I94,B",WEB BREAK FILM (F148) COOLING ZONE       TDO,ZT1531-02,83
"I94,C",DRIVE SIDE TENSION,ZS1515-06,83
"I94,D",OPERATOR SIDE TENSION,ZS1515-07,83
"I94,E",DRIVE SIDE COUNTER                       TDO,ZS1550-01,83
,(TDO OUTLET SPROCKET),,
"I94,F",OPERATOR SIDE COUNTER MDO WEB DET.       MDO,ZS1550-02,83
,(TDO OUTLET SPROCKET),,
,,,
"I95,0",AUX. WINDER 1 THERMOSTAT,TSH1360-03,86
"I95,1",AUX. WINDER 2 THERMOSTAT,TSH1450-03,86
"I95,2",C. R. WATER BATH LEVEL SWITCH           C. R,LSL1350-03,86
"I95,3",NIP ROLL 1 IN POS.                       MDO,ZSH1404-06,86
