PLC ADD,COMMENT ,,Unit ,Mark 
W574,FREE,,,
W575,FREE,,,
W576,FREE,,,
W577,FREE,,,
W578,FREE,,,
W579,FREE,,,
W580,FREE,,,
W581,FREE,,,
W582,FREE,,,
W583,FREE,,,
W584,FREE,,,
W585,FREE,,,
W586,FREE,,,
W587,FREE,,,
W588,FREE,,,
W589,FREE,,,
W590,FREE,,,
W591,FREE,,,
W592,FREE,,,
W593,FREE,,,
W594,FREE,,,
W595,FREE,,,
W596,FREE,,,
W597,FREE,,,
W598,FREE,,,
W599,FREE,,,
W600,FREE,,,
W601,TENSION SETPOINT ,R,0.1N,
W602,LINE SPEED MEASURE ,R,10 -3 Mps,
W603,CORE SPEED MEASURE ,R,10 -3 Rps,
W604,LINE SPEED CALCULATION,C,10 -3 Mps,
W605,TENSION MEASURE ,R,0.1 N,
W606,MOTOR CURRENT AVERAGE ,R,Pts,
W607,DIAMETER  CALCULATION ,C,10 - 4 M ,
W608,CORE SPEED MINI THRESHOLD ,P,10 - 3 Rps ,CW1012
W609,TORGUE MOTOR COEFFICIENT ,P,10 - 2 Nm/A ,CW1014
W610,FREE,,,
W611,"RADIUS DIFFERENCE FOR INCREASE  (0,1%)",P,0/000,CW1016
W612,LINE SPEED MEASURE - LINE SPEED  CALCULATION,C,0/000,
W613,MINIMUM TORGUE DIFFERENCE FOR CORRENT,P,0.1 N,CW1018
W614,INCREASE CORRECTION TORQUE STEP,P,0.1 N,CW1020
W615,ROUGH WORDS,,,
W616,ROUGH WORDS,,,
W617,ROUGH WORDS,,,
W618,ROUGH WORDS,,,
W619,ROUGH WORDS,,,
W620,SPEED CONTROL SENSIBILITY,P,0 - 5 Rps /Pts,CW1022
W621,FREE,,,
W622,FREE,,,
W623,FREE,,,
W624,FREE,,,
W625,FREE,,,
W626,FREE,,,
W627,FREE,,,
W628,FREE,,,
W629,INCREASE RADIUS STEP ,,10-4M,CW1024
W630,TOTAL  TORQUE,,0.1Nm,
W631,TENSION TORQUE,,0.1Nm,
W632,CORRECTION TORQUE,,0.1Nm,
W633,INSTANTANEOUS CORRECTION TORQUE ,,0.1Nm,
W634,PROPORTIONAL CORRECTION TORGUE COEF. ,,%,CW1026
W635,FREE,,,
W636,ROLL DIAMETER MINIUM (COPY OUT W90),,10-4M,CW1036 
W637,ROLL DIAMETER MINIUM (COPY OUT W91),,10-4M,CW1036 
W638,FREE,,,
W639,TORQUE ------->  CURRENT    COEFFICIENT,,0.1 Pts/A,CW1028
W640,INSTANTANEOUS CORE OVERSPEED,,Pts,
W641,INSTANTANEOUS CURRENT SETPOINT ,,Pts,
W642,NO LOAD CURRENT SETPOINT ,,Pts,
W643,NO LOAD CURRENT MINI SETPOINT ,,Pts,CW1030
W644,TENSION THRESHOLD MINI FOR CORRECTION,,0.1 N,CW1032
W645,CORE  OVERSPEED COMPARED TO LINE SPEED ,,%,CW1034
W646,CORE OVER SPEED ,,Pts,
W647,MOTOR CURRENT SETPOINT ,,Pts,
W648,MOTOR SPEED  SETPOINT ,,Pts,
W649,COPY OUT W641,,Pts,
W650,CURRENT SETPOINT INCREASE STEP,,Pts ,
W651,CURRENT SETPOINT MAX AT t,,Pts ,
W652,CURRENT SETPOINT MIN AT t ,,Pts ,
W653,FREE,,,
W654,FREE,,,
W655,FREE,,,
W656,FREE,,,
W657,FREE,,,
W658,CORONA TREATER INPUT PARAMETERS,,,
W659,FREE,,,
W660,FLAME TEMPERATURE,,,
W661,FLAME TREATER MIXTURE,,,
W662,FLAME TREATER ROLL TEMPERATURE,,,
W663,FLAME GAP,,,
