,F16\BIT.DOC,,
B 331,VALUE > 10000 Pts (if > 10000 then 10000),,
B 332,,,
B 333,,,
B 334,,,
B 335,,,
B 336,,,
B 337,,,
B 338,,,
B 339,,,
B 340,,,
B 341,,,
B 342,,,
B 343,,,
B 344,,,
B 345,,,
B 346,,,
B 347,,,
B 348,,,
B 349,,,
B 350,,,
B 351,,,
B 352,,,
B 353,,,
B 354,,,
B 355,,,
B 356,,,
B 357,,,
B 358,,,
B 359,,,
B 360,ORDER RUN EXT 1,,
B 361,ORDER RUN EXT 2,,
B 362,ORDER RUN SAT 1,,
B 363,ORDER RUN SAT 2,,
B 364,ORDER RUN CR,,
B 365,ORDER RUN MDO 1,,
B 366,ORDER RUN MDO 2,,
B 367,ORDER RUN MDO 3,,
B 368,ORDER RUN TDO,,
B 369,ORDER RUN PRS 1,,
B 370,ORDER RUN PRS 2,,
B 371,,,
B 372,,,
B 373,,,
B 374,,,
B 375,,,
B 376,,,
B 377,,,
B 378,,,
B 379,,,
B 380,START MDO 1 + WARM ROLL,,
B 381,START MDO 2 + WARM ROLL,,
B 382,START MDO 3 + WARM ROLL,,
B 383,START TDO + WARM ROLL,,
B 384,,,
B 385,,,
B 386,,,
B 387,,,
B 388,,,
B 389,,,
B 390,INTRO STRETCHING,,
B 391,LOW STRETCHING,,
B 392,PROD STRETCHING,,
B 393,HOLD STRETCHING,,
B 394,,,
B 395,,,
B 396,,,
B 397,,,
B 398,,,
B 399,,,
B 400,,,
B 401,,,
B 402,,,
B 403,,,
B 404,,,
B 405,,,
B 406,,,
B 407,,,
B 408,,,
B 409,,,
B 410,,,
B 411,,,
B 412,,,
B 413,,,
B 414,,,
B 415,,,
B 416,,,
B 417,,,
B 418,,,
B 419,,,
B 420,,,
B 421,,,
B 422,,,
B 423,,,
B 424,,,
B 425,,,
B 426,,,
B 427,,,
B 428,,,
B 429,,,
B 430,COPY W102 ,,
B 431,COPY W102 SETPOINT AUTOMATIC,,
B 432,COPY W102 SPEED/PRESSURE EXT 1,,
B 433,COPY W102 SPEED/PRESSURE EXT 2,,
B 434,COPY W102 SPEED/PRESSURE SAT 1,,
B 435,COPY W102 SPEED/PRESSURE SAT 2,,
B 436,COPY W102 ,,
B 437,COPY W102 PURGE MODE EXT 1; EXT 2,,
B 438,COPY W102 PURGE MODE SAT 1,,
B 439,COPY W102 PURGE MODE SAT 2,,
B 440,COPY W102 ,,
B 441,COPY W102 ,,
B 442,COPY W102 ,,
B 443,COPY W102 ,,
B 444,COPY W102 ,,
B 445,COPY W102 ,,
B 446,,,
B 447,,,
B 448,,,
B 449,,,
B 450,,,
B 451,,,
B 452,,,
B 453,,,
B 454,,,
B 455,,,
B 456,,,
B 457,,,
B 458,,,
B 459,,,
B 460,,,
B 461,,,
B 462,,,
B 463,,,
B 464,,,
B 465,,,
B 466,,,
B 467,,,
B 468,,,
B 469,,,
B 470,,,
B 471,,,
B 472,,,
B 473,,,
B 474,,,
B 475,,,
B 476,,,
B 477,,,
B 478,,,
B 479,,,
B 480,,,
B 481,,,
B 482,,,
B 483,,,
B 484,,,
B 485,,,
B 486,,,
B 487,,,
B 488,,,
B 489,,,
B 490,,,
B 491,,,
B 492,,,
B 493,,,
B 494,,,
B 495,,,
B 496,,,
B 497,,,
B 498,,,
B 499,,,
B 500,INVERSE VIDEO PAGE 1      RATIO EXT 1 / EXT 2,,
B 501,INVERSE VIDEO PAGE 1      PRESSURE EXT 1,,
B 502,INVERSE VIDEO PAGE 1      SPEED EXT 2,,
B 503,INVERSE VIDEO PAGE 1      PRESSURE EXT 2,,
B 504,INVERSE VIDEO PAGE 1      SPEED CR,,
B 505,INVERSE VIDEO PAGE 1 ,,
B 506,INVERSE VIDEO PAGE 1 ,,
B 507,INVERSE VIDEO PAGE 1 ,,
B 508,INVERSE VIDEO PAGE 1 ,,
B 509,INVERSE VIDEO PAGE 1 ,,
B 510,INVERSE VIDEO PAGE 1 ,,
B 511,INVERSE VIDEO PAGE 1 ,,
B 512,INVERSE VIDEO PAGE 1 ,,
B 513,INVERSE VIDEO PAGE 1 ,,
B 514,INVERSE VIDEO PAGE 1 ,,
B 515,INVERSE VIDEO PAGE 1 ,,
B 516,INVERSE VIDEO PAGE 2      SPEED SAT 1,,
B 517,INVERSE VIDEO PAGE 2      PRESSURE SAT 1,,
B 518,INVERSE VIDEO PAGE 2      SPEED CR,,
B 519,INVERSE VIDEO PAGE 2      PRESSURE SAT 2,,
B 520,INVERSE VIDEO PAGE 2      SPEED SAT 2,,
B 521,INVERSE VIDEO PAGE 2 ,,
B 522,INVERSE VIDEO PAGE 2 ,,
B 523,INVERSE VIDEO PAGE 2 ,,
B 524,INVERSE VIDEO PAGE 2 ,,
B 525,INVERSE VIDEO PAGE 2 ,,
B 526,INVERSE VIDEO PAGE 2 ,,
B 527,INVERSE VIDEO PAGE 2 ,,
B 528,INVERSE VIDEO PAGE 2 ,,
B 529,INVERSE VIDEO PAGE 2 ,,
B 530,INVERSE VIDEO PAGE 2 ,,
