,FIX-DMACS DIGITAL OUTPUT/INPUT BITS,
,,
W 4612 8,DOAMR 340,AUTO(0)/MANU(1)
W 4612 9,DOAMR 341,AUTO(0)/MANU(1)
W 4612 A,DOAMR 342,AUTO(0)/MANU(1)
W 4612 B,DOAMR 343,AUTO(0)/MANU(1)
W 4612 C,DOAMR 344,AUTO(0)/MANU(1)
W 4612 D,DOAMR 345,AUTO(0)/MANU(1)
W 4612 E,DOAMR 346,AUTO(0)/MANU(1)
W 4612 F,DOAMR 347,AUTO(0)/MANU(1)
,,
W 4613 0,DOAMR 348,AUTO(0)/MANU(1)
W 4613 1,DOAMR 349,AUTO(0)/MANU(1)
W 4613 2,DOAMR 350,AUTO(0)/MANU(1)
W 4613 3,DOAMR 351,AUTO(0)/MANU(1)
W 4613 4,DOAMR 352,AUTO(0)/MANU(1)
W 4613 5,DOAMR 353,AUTO(0)/MANU(1)
W 4613 6,DOAMR 354,AUTO(0)/MANU(1)
W 4613 7,DOAMR 355,AUTO(0)/MANU(1)
W 4613 8,DOAMR 356,AUTO(0)/MANU(1)
W 4613 9,DOAMR 357,AUTO(0)/MANU(1)
W 4613 A,DOAMR 358,AUTO(0)/MANU(1)
W 4613 B,DOAMR 359,AUTO(0)/MANU(1)
W 4613 C,DOAMR 360,AUTO(0)/MANU(1)
W 4613 D,DOAMR 361,AUTO(0)/MANU(1)
W 4613 E,,
W 4613 F,DOAMR 200,AUTO(0)/MANU(1)
,,
W 4620 0,SAT1S,START SATELLITE EX1 ALL ZONES
W 4620 1,,
W 4620 2,MELT1 S,START SATELLITE EX1 MELT LINE ALL EQUIPMENTS
W 4620 3,SAT2S,START SATELLITE EX2 MELT LINE ALL EQUIPMENTS
W 4620 4,,
W 4620 5,MELT2 S,START SAT2 MELT LINE ALL EQUIPMENTS
W 4620 6,PRIS,START PRIMARY EXT HEATING
W 4620 7,,
W 4620 8,MBES,START MAIN EX1 MELT LINE
W 4620 9,SECS,START MAIN EX2 ALL ZONES
W 4620 A,,
W 4620 B,MTDS,START MAIN EX2 MELT LINE TO DIE
W 4620 C,DIES,START DIE ALL EQUIPMENTS
W 4620 D,,
W 4620 E,,
W 4620 F,,
,,
W 4621 0,DOPU SAT1,PURGE SAT EX1
W 4621 1,DOPU SAT2,PURGE SAT EX2
W 4621 2,DOPU EXT,PURGE MAIN EXT 1&2
W 4621 3,DOSB SAT1,STANDBY SAT1
W 4621 4,DOSB SAT2,STANDBY SAT2
W 4621 5,DOSB EXT,STANDBY EXTRUDER 1&2
W 4621 6,,
W 4621 7,,
W 4621 8,,
W 4621 9,,
W 4621 A,,
W 4621 B,,
W 4621 C,,
W 4621 D,DO REDE,RELEASE DEFECT
W 4621 E,DORE KLA,RELEASE KLAXON
W 4621 F,,
,,
W 4622 0,SAT1 SO,STOP SAT1 ALL EQUIP
W 4622 1,,
W 4622 2,MELT1 SO,STOP SAT MELT LINE
W 4622 3,,
W 4622 4,,
W 4622 5,,
W 4622 6,PRISO,STOP PRI EXT ALL EQUIPMENTS
W 4622 7,,
W 4622 8,MBESO,STOP MELT BETWEEN EXT
W 4622 9,SEOSO,STOP SEC EXT ALL EQUIPMENTS
W 4622 A,,
W 4622 B,MTDSO,STOP MELT TO DIE
W 4622 C,DIESO,STOP DIE
W 4622 D,,
W 4622 E,,
W 4622 F,,
,,
W 4623 0,,
W 4623 1,,
W 4623 2,,
W 4623 3,,
W 4623 4,,
W 4623 5,,
W 4623 6,,
W 4623 7,,
W 4623 8,,
W 4623 9,,
W 4623 A,,
W 4623 B,,
W 4623 C,,
W 4623 D,,
W 4623 E,,
W 4623 F,,
,,
W 4920 0,DIREE 100,ANSWER CONTACTOR SAT EX1
W 4920 1,DIREE 101,ANSWER CONTACTOR SAT EX1
W 4920 2,DIREE 102,ANSWER CONTACTOR SAT EX1
W 4920 3,DIREE 103,ANSWER CONTACTOR SAT EX1
W 4920 4,DIREE 104,ANSWER CONTACTOR SAT EX1
W 4920 5,DIREE 105,ANSWER CONTACTOR SAT EX1
W 4920 6,DIREE 106,ANSWER CONTACTOR SAT EX1
W 4920 7,DIREE 107,ANSWER CONTACTOR SAT EX1
W 4920 8,DIREE 108,ANSWER CONTACTOR SAT EX1
W 4920 9,,
W 4920 A,DIREE 110,ANSWER CONTACTOR SAT EX2
W 4920 B,DIREE 111,ANSWER CONTACTOR SAT EX2
W 4920 C,DIREE 112,ANSWER CONTACTOR SAT EX2
W 4920 D,DIREE 113,ANSWER CONTACTOR SAT EX2
W 4920 E,DIREE 114,ANSWER CONTACTOR SAT EX2
W 4920 F,DIREE 115,ANSWER CONTACTOR SAT EX2
,,
W 4921 0,DIREE 116,ANSWER CONTACTOR SAT EX2
W 4921 1,DIREE 117,ANSWER CONTACTOR SAT EX2
W 4921 2,DIREE 118,ANSWER CONTACTOR SAT EX2
W 4921 3,,
W 4921 4,DIREE 120,ANSWER CONTACTOR MAIN EX1
W 4921 5,DIREE 121,ANSWER CONTACTOR MAIN EX1
W 4921 6,DIREE 122,ANSWER CONTACTOR MAIN EX1
W 4921 7,DIREE 123,ANSWER CONTACTOR MAIN EX1
W 4921 8,DIREE 124,ANSWER CONTACTOR MAIN EX1
W 4921 9,DIREE 125,ANSWER CONTACTOR MAIN EX1
W 4921 A,DIREE 126,ANSWER CONTACTOR MAIN EX1
W 4921 B,DIREE 127,ANSWER CONTACTOR MAIN EX1
W 4921 C,DIREE 128,MAIN EX1 COOLING PUMP
W 4921 D,DIREE 129,
W 4921 E,DIREE 130,ANSWER CONTACTOR EXT1 MELT LINE ZONE 1
W 4921 F,DIREE 131,ANSWER CONTACTOR EXT1 MELT LINE ZONE 2
,,
W 4922 0,DIREE 132,ANSWER CONTACTOR EXT1 MELT LINE ZONE 3
W 4922 1,DIREE 133,ANSWER CONTACTOR EXT1 MELT LINE ZONE 4
W 4922 2,DIREE 134,ANSWER CONTACTOR MELT LINE OIL SKID PUMP
W 4922 3,DIREE 135,ANSWER CONTACTOR MELT LINE OIL SKID HEATER
W 4922 4,,
W 4922 5,,
W 4922 6,,
W 4922 7,,
W 4922 8,DIREE 140,ANSWER CONTACTOR MAIN EX2
W 4922 9,DIREE 141,ANSWER CONTACTOR MAIN EX2
W 4922 A,DIREE 142,ANSWER CONTACTOR MAIN EX2
W 4922 B,DIREE 143,ANSWER CONTACTOR MAIN EX2
W 4922 C,DIREE 144,ANSWER CONTACTOR MAIN EX2
W 4922 D,DIREE 145,ANSWER CONTACTOR MAIN EX2
W 4922 E,DIREE 146,ANSWER CONTACTOR MAIN EX2
W 4922 F,DIREE 147,ANSWER CONTACTOR MAIN EX2
,,
W 4923 0,DIREE 148,"CONTACTOR ANSWER, MAIN EX2 COOLING PUMP"
W 4923 1,DIREE 149,"CONTACTOR ANSWER, STATIC MIXER CONNECTION ZONE"
W 4923 2,DIREE 150,"CONTACTOR ANSWER, STATIC MIXER"
W 4923 3,DIREE 151,"CONTACTOR ANSWER, DIVERTER"
W 4923 4,,
W 4923 5,DIREE 153,"CONTACTOR ANSWER, DIE HEATER ZONE 1"
W 4923 6,DIREE 154,"CONTACTOR ANSWER, DIE HEATER ZONE 2"
W 4923 7,DIREE 155,"CONTACTOR ANSWER, DIE HEATER ZONE 3"
W 4923 8,DIREE 156,"CONTACTOR ANSWER, DIE HEATER ZONE 4"
W 4923 9,DIREE 157,"CONTACTOR ANSWER, DIE HEATER ZONE 5"
W 4923 A,DIREE 158,"CONTACTOR ANSWER, DIE HEATER ZONE 6"
W 4923 B,DIREE 159,"CONTACTOR ANSWER, DIE HEATER ZONE 7"
W 4923 C,,
W 4923 D,,
W 4923 E,,
W 4923 F,,
,,
W 4925 0,DIREE 1,"ANSWER CONTACTOR, HOMO DRYER"
W 4925 1,DIREE 2,"ANSWER CONTACTOR, RECLAIM DRYER"
W 4925 2,DIREE 3,"ANSWER CONTACTOR, AUGER MOTOR M1106.01"
W 4925 3,DIREE 4,"ANSWER CONTACTOR, AUGER MOTOR M1106.02"
W 4925 4,DIREE 5,"ANSWER CONTACTOR, AUGER MOTOR M1112.01"
W 4925 5,DIREE 6,"ANSWER CONTACTOR, MIXING SCREW MOTOR"
W 4925 6,DIREE 7,"ANSWER CONTACTOR, ROTATING ARM MOTOR"
W 4925 7,DIREE 8,"ANSWER CONTACTOR, VALVE SV 1111.21"
W 4925 8,DIREE 9,
W 4925 9,DIREE 10,
W 4925 A,DIREE 11,
W 4925 B,DIREE 12,
W 4925 C,DIREE 13,
W 4925 D,,
W 4925 E,,
W 4925 F,,
,,
W 4926 0,,
W 4926 1,,
W 4926 2,,
W 4926 3,,
W 4926 4,,
W 4926 5,,
W 4926 6,,
W 4926 7,,
W 4926 8,,
W 4926 9,,
W 4926 A,,
W 4926 B,,
W 4926 C,,
W 4926 D,,
W 4926 E,,
W 4926 F,,
,,
W 4928 0,DICM 121008,"CONTACTOR ANSWER, SAT1 FAN ZONE 1"
W 4928 1,DICM 121009,"CONTACTOR ANSWER, SAT1 FAN ZONE 2"
W 4928 2,DICM 121010,"CONTACTOR ANSWER, SAT1 FAN ZONE 3"
W 4928 3,DICM 121011,"CONTACTOR ANSWER, SAT1 FAN ZONE 4"
W 4928 4,DICM 121012,"CONTACTOR ANSWER, SAT1 FAN ZONE 5"
W 4928 5,DICM 121013,"CONTACTOR ANSWER, SAT1 FAN ZONE 6"
W 4928 6,DICM 121014,"CONTACTOR ANSWER, SAT1 FAN ZONE 7"
W 4928 7,DICM 121022,"CONTACTOR ANSWER, SAT2 FAN ZONE 1"
W 4928 8,DICM 121023,"CONTACTOR ANSWER, SAT2 FAN ZONE 2"
W 4928 9,DICM 121024,"CONTACTOR ANSWER, SAT2 FAN ZONE 3"
W 4928 A,DICM 121025,"CONTACTOR ANSWER, SAT2 FAN ZONE 4"
W 4928 B,DICM 121026,"CONTACTOR ANSWER, SAT2 FAN ZONE 5"
W 4928 C,DICM 121027,"CONTACTOR ANSWER, SAT2 FAN ZONE 6"
W 4928 D,DICM 121028,"CONTACTOR ANSWER, SAT2 FAN ZONE 7"
W 4928 E,DISV 120001,"CONTACTOR ANSWER, EXT1 COOLING VALVE ZONE 1"
W 4928 F,DISV 120002,"CONTACTOR ANSWER, EXT1 COOLING VALVE ZONE 2"
,,
W 4929 0,DISV 120003,"CONTACTOR ANSWER, EXT1 COOLING VALVE ZONE 3"
W 4929 1,DISV 120004,"CONTACTOR ANSWER, EXT1 COOLING VALVE ZONE 4"
W 4929 2,DISV 120005,"CONTACTOR ANSWER, EXT2 COOLING VALVE ZONE 1"
W 4929 3,DISV 120006,"CONTACTOR ANSWER, EXT2 COOLING VALVE ZONE 2"
W 4929 4,DISV 120007,"CONTACTOR ANSWER, EXT2 COOLING VALVE ZONE 3"
W 4929 5,DISV 120008,"CONTACTOR ANSWER, EXT2 COOLING VALVE ZONE 4"
W 4929 6,,
W 4929 7,DISV 120000,"CONTACTOR ANSWER, EXT1 COOLING VALVE SV1200.00"
W 4929 8,,
W 4929 9,,
W 4929 A,,
W 4929 B,,
W 4929 C,,
W 4929 D,,
W 4929 E,,
W 4929 F,,
,,
W 4930 0,DIFAE 100,DEFECT OF SAT EXT1 HEATER
